product_id,product_name,default_code,category,stock_uom,stock_uom_categ,purchase_uom,purchase_uom_categ,last_po_uom,last_po_uom_categ,last_po_date,bom_line_uoms,bom_count,flags,proposed_bucket,proposed_kg_per_l
860,Oxtail Wet Premix 2/3,,All / SEMI-FINISHED GOODS / Cooked Components,kg,Weight,kg,Weight,,,,kg,2,,,
940,"Oxtail, fresh",,All / RAW MATERIALS / Meat & Poultry,kg,Weight,kg,Weight,,,,kg,2,,,
951,Paprika oleoresin (E160c),,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,2,,,
904,Paprika powder TRS,,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,1,,,
906,"Paprika powder, smoked",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,5,,,
935,"Parsley, flat leaf, fresh",,All / RAW MATERIALS / Fresh Produce / Herbs & Greens,kg,Weight,kg,Weight,,,,kg,1,,,
1154,"Pear, fresh",,All / RAW MATERIALS / Fresh Produce / Fruits,kg,Weight,kg,Weight,,,,kg,12,,,
1155,"Pineapple, canned",,All / RAW MATERIALS / Dry Goods,Units,Unit,Units,Unit,,,,Units,2,,,
1156,Plum Syrup,,All / RAW MATERIALS / Condiments & Liquids,kg,Weight,kg,Weight,,,,kg,8,,,
948,Potassium sorbate (E202),,All / RAW MATERIALS / Dry Goods / Preservatives,kg,Weight,kg,Weight,,,,kg,12,,,
908,Potato / Kartoffeln Festkochend 25kg,,All / RAW MATERIALS / Fresh Produce / Vegetables,25kg,Weight,25kg,Weight,,,,kg,7,,,
1157,"Radish, fresh",,All / RAW MATERIALS / Fresh Produce / Vegetables,kg,Weight,kg,Weight,,,,kg,6,,,
985,"Red Kidney Beans, canned",,All,kg,Weight,kg,Weight,,,,kg,1,,,
937,Rice flour,,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,7,,,
931,"Rice, long grain",,All / RAW MATERIALS / Dry Goods,kg,Weight,kg,Weight,,,,kg,1,,,
1158,"Rosemary, dried",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,2,,,
889,"Salt, fine",,All / RAW MATERIALS / Spices & Seasonings,kg,Weight,kg,Weight,,,,kg,31,,,
